BikeAge,BikeAlcDrg,BikeInjury,BikeRace,BikeSex,SpeedLimit
17,.,A: Suspected Serious Injury,White,Male,50 - 55  MPH
24,No,C: Possible Injury,White,Male,40 - 45  MPH
17,.,B: Suspected Minor Injury,White,Male,20 - 25  MPH
62,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
27,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
19,No,B: Suspected Minor Injury,Black,Female,40 - 45  MPH
15,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
19,No,B: Suspected Minor Injury,Black,Male,Unknown
17,.,K: Killed,White,Male,50 - 55  MPH
17,No,C: Possible Injury,White,Female,30 - 35  MPH
41,.,O: No Injury,White,Male,30 - 35  MPH
45,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
64,.,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
14,No,B: Suspected Minor Injury,White,Male,5 - 15 MPH
58,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
52,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
45,.,C: Possible Injury,Black,Male,Unknown
16,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
54,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
30,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
35,.,K: Killed,Black,Male,60 - 75 MPH
12,No,C: Possible Injury,Black,Female,30 - 35  MPH
24,.,O: No Injury,White,Male,30 - 35  MPH
11,Missing,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
54,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
15,No,O: No Injury,White,Female,30 - 35  MPH
41,.,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
12,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
27,.,O: No Injury,White,Male,20 - 25  MPH
17,No,Unknown Injury,White,Male,5 - 15 MPH
46,.,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
11,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
25,.,B: Suspected Minor Injury,White,Male,5 - 15 MPH
51,"Yes-Alcohol, impairment suspected",C: Possible Injury,Black,Male,50 - 55  MPH
44,.,O: No Injury,Black,Male,30 - 35  MPH
49,No,C: Possible Injury,Black,Male,Unknown
22,.,B: Suspected Minor Injury,White,Male,20 - 25  MPH
55,No,O: No Injury,Black,Male,30 - 35  MPH
47,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
41,No,C: Possible Injury,White,Male,30 - 35  MPH
8,.,C: Possible Injury,Black,Female,20 - 25  MPH
21,No,C: Possible Injury,White,Male,30 - 35  MPH
55,.,C: Possible Injury,White,Male,40 - 45  MPH
10,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
15,.,C: Possible Injury,Hispanic,Male,30 - 35  MPH
57,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
999,.,Unknown Injury,Black,Male,50 - 55  MPH
25,No,C: Possible Injury,White,Male,5 - 15 MPH
41,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
49,No,C: Possible Injury,White,Male,40 - 45  MPH
21,.,C: Possible Injury,White,Male,30 - 35  MPH
54,No,C: Possible Injury,Black,Male,40 - 45  MPH
24,.,O: No Injury,White,Male,50 - 55  MPH
44,Unknown,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
54,.,K: Killed,Black,Male,30 - 35  MPH
19,No,C: Possible Injury,Black,Male,5 - 15 MPH
51,.,C: Possible Injury,Black,Male,20 - 25  MPH
25,No,O: No Injury,White,Male,5 - 15 MPH
15,.,C: Possible Injury,White,Male,50 - 55  MPH
67,No,C: Possible Injury,Black,Male,30 - 35  MPH
51,.,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
23,No,C: Possible Injury,Black,Male,30 - 35  MPH
65,.,O: No Injury,Black,Male,30 - 35  MPH
57,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,Asian,Male,40 - 45  MPH
26,.,C: Possible Injury,White,Male,50 - 55  MPH
28,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
13,.,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
51,No,C: Possible Injury,Black,Male,30 - 35  MPH
24,.,C: Possible Injury,White,Male,40 - 45  MPH
18,No,C: Possible Injury,Hispanic,Male,40 - 45  MPH
17,.,C: Possible Injury,White,Male,50 - 55  MPH
49,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
53,.,C: Possible Injury,Black,Male,30 - 35  MPH
20,No,C: Possible Injury,Black,Male,30 - 35  MPH
27,.,C: Possible Injury,White,Male,Unknown
17,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
41,.,B: Suspected Minor Injury,White,Female,40 - 45  MPH
36,No,C: Possible Injury,White,Male,30 - 35  MPH
49,.,O: No Injury,White,Male,40 - 45  MPH
70,No,C: Possible Injury,White,Male,20 - 25  MPH
57,.,B: Suspected Minor Injury,Asian,Male,40 - 45  MPH
63,Unknown,Unknown Injury,Unknown/Missing,Male,30 - 35  MPH
25,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
61,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
28,.,Unknown Injury,White,Male,30 - 35  MPH
31,No,C: Possible Injury,Black,Male,Unknown
46,No,C: Possible Injury,Black,Female,30 - 35  MPH
11,No,B: Suspected Minor Injury,Asian,Male,40 - 45  MPH
34,"Yes-Alcohol, impairment suspected",Unknown Injury,Black,Male,50 - 55  MPH
65,No,C: Possible Injury,Black,Male,30 - 35  MPH
15,No,O: No Injury,Black,Male,30 - 35  MPH
24,No,O: No Injury,White,Male,30 - 35  MPH
53,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
17,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
7,.,C: Possible Injury,Black,Male,30 - 35  MPH
11,No,B: Suspected Minor Injury,Hispanic,Male,20 - 25  MPH
61,.,C: Possible Injury,Black,Male,30 - 35  MPH
51,No,O: No Injury,Black,Male,30 - 35  MPH
22,No,C: Possible Injury,White,Male,Unknown
36,No,O: No Injury,Black,Male,20 - 25  MPH
20,No,C: Possible Injury,Native American,Male,20 - 25  MPH
51,No,C: Possible Injury,White,Male,30 - 35  MPH
25,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
8,No,C: Possible Injury,Unknown/Missing,Female,20 - 25  MPH
34,No,A: Suspected Serious Injury,White,Female,50 - 55  MPH
19,No,A: Suspected Serious Injury,White,Female,40 - 45  MPH
8,No,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
20,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
21,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
999,No,K: Killed,White,Male,40 - 45  MPH
23,No,C: Possible Injury,White,Male,30 - 35  MPH
56,No,C: Possible Injury,Hispanic,Male,40 - 45  MPH
17,No,C: Possible Injury,Black,Male,30 - 35  MPH
24,No,C: Possible Injury,White,Female,40 - 45  MPH
22,No,C: Possible Injury,White,Male,40 - 45  MPH
47,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
14,No,O: No Injury,White,Female,40 - 45  MPH
7,No,O: No Injury,Black,Male,20 - 25  MPH
25,No,B: Suspected Minor Injury,Asian,Male,50 - 55  MPH
16,No,B: Suspected Minor Injury,Native American,Male,40 - 45  MPH
12,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
23,No,C: Possible Injury,White,Male,40 - 45  MPH
22,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
48,No,C: Possible Injury,Black,Male,5 - 15 MPH
52,No,O: No Injury,White,Male,30 - 35  MPH
25,No,O: No Injury,White,Male,30 - 35  MPH
27,No,C: Possible Injury,White,Male,40 - 45  MPH
11,No,B: Suspected Minor Injury,Black,Female,20 - 25  MPH
9,No,B: Suspected Minor Injury,Hispanic,Male,20 - 25  MPH
58,No,C: Possible Injury,White,Male,30 - 35  MPH
24,.,C: Possible Injury,Hispanic,Male,30 - 35  MPH
45,No,Unknown Injury,White,Male,40 - 45  MPH
28,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
26,No,O: No Injury,White,Female,30 - 35  MPH
35,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
43,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
16,.,C: Possible Injury,White,Male,40 - 45  MPH
49,No,C: Possible Injury,White,Male,30 - 35  MPH
47,No,C: Possible Injury,Hispanic,Male,20 - 25  MPH
30,"Yes-Alcohol, impairment suspected",C: Possible Injury,White,Male,30 - 35  MPH
49,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
57,No,C: Possible Injury,Black,Male,40 - 45  MPH
40,No,C: Possible Injury,White,Male,30 - 35  MPH
29,No,B: Suspected Minor Injury,Black,Female,40 - 45  MPH
40,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
22,No,C: Possible Injury,Black,Male,30 - 35  MPH
55,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
15,No,C: Possible Injury,White,Male,40 - 45  MPH
59,No,A: Suspected Serious Injury,White,Male,40 - 45  MPH
23,No,O: No Injury,Black,Male,30 - 35  MPH
48,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
68,No,A: Suspected Serious Injury,Black,Male,40 - 45  MPH
28,No,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
6,No,C: Possible Injury,Black,Male,20 - 25  MPH
11,No,C: Possible Injury,White,Female,50 - 55  MPH
15,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
24,No,C: Possible Injury,Black,Male,60 - 75 MPH
57,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
19,No,O: No Injury,White,Male,Unknown
20,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
26,No,B: Suspected Minor Injury,Asian,Female,30 - 35  MPH
19,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
12,No,C: Possible Injury,Black,Male,50 - 55  MPH
15,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
37,No,C: Possible Injury,White,Male,40 - 45  MPH
41,Unknown,B: Suspected Minor Injury,White,Male,30 - 35  MPH
10,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
42,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
22,No,C: Possible Injury,White,Male,40 - 45  MPH
21,No,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
11,No,C: Possible Injury,Black,Male,30 - 35  MPH
55,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
29,No,O: No Injury,White,Male,30 - 35  MPH
39,No,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
42,No,Unknown Injury,Unknown/Missing,Male,Unknown
21,No,B: Suspected Minor Injury,White,Female,5 - 15 MPH
51,No,C: Possible Injury,Black,Male,30 - 35  MPH
17,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
63,No,C: Possible Injury,White,Male,30 - 35  MPH
32,Unknown,B: Suspected Minor Injury,White,Male,30 - 35  MPH
46,No,O: No Injury,White,Male,30 - 35  MPH
28,No,B: Suspected Minor Injury,White,Female,20 - 25  MPH
27,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
48,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
36,Unknown,C: Possible Injury,White,Male,30 - 35  MPH
58,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
34,No,B: Suspected Minor Injury,White,Female,Unknown
19,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
31,No,O: No Injury,White,Male,30 - 35  MPH
58,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
61,No,C: Possible Injury,White,Male,30 - 35  MPH
27,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
13,No,C: Possible Injury,White,Female,40 - 45  MPH
12,No,B: Suspected Minor Injury,Native American,Female,50 - 55  MPH
42,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
49,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,White,Male,30 - 35  MPH
17,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
27,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
46,No,C: Possible Injury,White,Male,50 - 55  MPH
56,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
12,No,C: Possible Injury,Black,Male,20 - 25  MPH
12,No,B: Suspected Minor Injury,Black,Female,5 - 15 MPH
17,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
38,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
64,No,A: Suspected Serious Injury,White,Male,40 - 45  MPH
76,No,B: Suspected Minor Injury,Hispanic,Male,5 - 15 MPH
8,No,C: Possible Injury,Black,Female,30 - 35  MPH
42,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
32,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
68,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
20,No,C: Possible Injury,Black,Male,30 - 35  MPH
56,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
11,No,B: Suspected Minor Injury,Black,Female,20 - 25  MPH
20,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
14,No,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
12,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
31,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,White,Male,30 - 35  MPH
42,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,Black,Female,30 - 35  MPH
17,"Yes-Alcohol, impairment suspected",C: Possible Injury,Hispanic,Male,50 - 55  MPH
47,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
17,No,O: No Injury,Black,Male,40 - 45  MPH
45,Unknown,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
61,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
18,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
50,No,B: Suspected Minor Injury,White,Female,50 - 55  MPH
5,No,B: Suspected Minor Injury,Hispanic,Male,5 - 15 MPH
50,No,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
59,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
43,"Yes-Alcohol, impairment suspected",K: Killed,Black,Male,30 - 35  MPH
46,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
17,No,B: Suspected Minor Injury,White,Male,Unknown
48,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
24,No,C: Possible Injury,White,Male,30 - 35  MPH
21,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
53,No,C: Possible Injury,Black,Male,30 - 35  MPH
63,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
20,"Yes-Alcohol, impairment suspected",K: Killed,Black,Male,50 - 55  MPH
12,No,B: Suspected Minor Injury,White,Male,5 - 15 MPH
51,No,Unknown Injury,Unknown/Missing,Female,20 - 25  MPH
22,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
48,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
67,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
58,No,C: Possible Injury,White,Male,Unknown
55,No,B: Suspected Minor Injury,White,Female,Unknown
22,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
66,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
28,No,C: Possible Injury,White,Female,20 - 25  MPH
63,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
21,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
53,No,B: Suspected Minor Injury,White,Female,20 - 25  MPH
57,No,C: Possible Injury,White,Male,40 - 45  MPH
21,No,B: Suspected Minor Injury,Hispanic,Female,20 - 25  MPH
17,No,C: Possible Injury,White,Male,50 - 55  MPH
11,No,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
20,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
57,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
24,No,C: Possible Injury,Black,Male,30 - 35  MPH
18,No,B: Suspected Minor Injury,White,Female,50 - 55  MPH
48,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
57,No,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
18,No,C: Possible Injury,White,Male,Unknown
8,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
57,No,C: Possible Injury,White,Male,40 - 45  MPH
22,No,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
46,"Yes-Alcohol and Drugs, impairment suspected",C: Possible Injury,Black,Female,40 - 45  MPH
36,No,B: Suspected Minor Injury,White,Male,Unknown
20,No,C: Possible Injury,White,Male,20 - 25  MPH
45,No,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
52,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
57,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
69,No,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
31,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
64,No,B: Suspected Minor Injury,White,Male,5 - 15 MPH
21,No,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
47,No,C: Possible Injury,Black,Male,30 - 35  MPH
26,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
67,Unknown,C: Possible Injury,Black,Male,Unknown
67,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
49,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,White,Male,5 - 15 MPH
66,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
999,Unknown,Unknown Injury,Unknown/Missing,Unknown,40 - 45  MPH
57,No,C: Possible Injury,Black,Male,30 - 35  MPH
32,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
48,"Yes-Alcohol, impairment suspected",C: Possible Injury,Native American,Male,30 - 35  MPH
69,No,C: Possible Injury,White,Male,20 - 25  MPH
51,No,C: Possible Injury,White,Male,50 - 55  MPH
20,No,Unknown Injury,Black,Male,30 - 35  MPH
30,No,C: Possible Injury,White,Male,30 - 35  MPH
4,No,A: Suspected Serious Injury,Hispanic,Male,30 - 35  MPH
15,No,C: Possible Injury,Black,Male,30 - 35  MPH
53,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
21,No,C: Possible Injury,White,Male,5 - 15 MPH
51,No,C: Possible Injury,Black,Female,50 - 55  MPH
20,No,C: Possible Injury,Black,Male,Unknown
15,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
32,No,O: No Injury,White,Male,20 - 25  MPH
67,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
61,No,A: Suspected Serious Injury,White,Male,40 - 45  MPH
22,No,C: Possible Injury,White,Male,20 - 25  MPH
28,"Yes-Alcohol, impairment detected",C: Possible Injury,White,Female,50 - 55  MPH
51,No,C: Possible Injury,White,Male,40 - 45  MPH
63,No,C: Possible Injury,Black,Male,40 - 45  MPH
6,No,O: No Injury,Black,Male,30 - 35  MPH
12,No,O: No Injury,Black,Female,20 - 25  MPH
51,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
22,No,O: No Injury,White,Male,40 - 45  MPH
10,No,B: Suspected Minor Injury,Native American,Female,40 - 45  MPH
39,No,C: Possible Injury,White,Male,40 - 45  MPH
20,No,C: Possible Injury,White,Male,Unknown
65,No,C: Possible Injury,White,Female,40 - 45  MPH
40,No,C: Possible Injury,White,Male,30 - 35  MPH
24,No,Unknown Injury,White,Male,20 - 25  MPH
28,No,A: Suspected Serious Injury,White,Male,50 - 55  MPH
14,No,C: Possible Injury,Hispanic,Male,20 - 25  MPH
16,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
24,No,O: No Injury,White,Male,30 - 35  MPH
12,No,C: Possible Injury,Black,Male,40 - 45  MPH
22,No,C: Possible Injury,White,Female,30 - 35  MPH
25,No,C: Possible Injury,Black,Male,Unknown
13,No,C: Possible Injury,Black,Male,30 - 35  MPH
10,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
7,No,O: No Injury,White,Male,20 - 25  MPH
9,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
36,No,O: No Injury,White,Male,5 - 15 MPH
8,No,B: Suspected Minor Injury,Hispanic,Male,Unknown
45,No,A: Suspected Serious Injury,White,Male,40 - 45  MPH
22,No,A: Suspected Serious Injury,White,Male,40 - 45  MPH
59,No,C: Possible Injury,White,Male,30 - 35  MPH
22,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
56,No,C: Possible Injury,Black,Male,Unknown
8,No,C: Possible Injury,Black,Male,30 - 35  MPH
41,No,C: Possible Injury,White,Male,50 - 55  MPH
28,No,C: Possible Injury,White,Male,5 - 15 MPH
22,No,C: Possible Injury,White,Male,30 - 35  MPH
63,No,O: No Injury,Black,Male,30 - 35  MPH
44,Unknown,K: Killed,Black,Female,50 - 55  MPH
21,Unknown,A: Suspected Serious Injury,Black,Male,30 - 35  MPH
23,No,O: No Injury,Black,Female,40 - 45  MPH
53,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
49,No,C: Possible Injury,Black,Male,5 - 15 MPH
46,No,C: Possible Injury,Black,Male,30 - 35  MPH
28,No,C: Possible Injury,Black,Male,5 - 15 MPH
23,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
35,No,C: Possible Injury,White,Male,50 - 55  MPH
41,"Yes-Alcohol and Drugs, impairment suspected",K: Killed,White,Male,50 - 55  MPH
18,No,O: No Injury,White,Male,5 - 15 MPH
27,No,C: Possible Injury,White,Male,30 - 35  MPH
50,No,O: No Injury,White,Male,40 - 45  MPH
65,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
60,No,C: Possible Injury,Black,Male,30 - 35  MPH
41,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
54,No,C: Possible Injury,White,Male,30 - 35  MPH
999,Missing,C: Possible Injury,Black,Male,30 - 35  MPH
55,Unknown,A: Suspected Serious Injury,White,Male,30 - 35  MPH
21,No,C: Possible Injury,White,Male,30 - 35  MPH
20,No,C: Possible Injury,White,Male,20 - 25  MPH
33,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
55,No,C: Possible Injury,White,Male,30 - 35  MPH
16,Missing,C: Possible Injury,White,Male,30 - 35  MPH
24,"Yes-Alcohol, impairment detected",A: Suspected Serious Injury,White,Male,Unknown
31,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
57,No,C: Possible Injury,White,Male,20 - 25  MPH
22,No,C: Possible Injury,White,Male,30 - 35  MPH
18,No,O: No Injury,Black,Male,30 - 35  MPH
26,"Yes-Alcohol, impairment suspected",C: Possible Injury,Black,Male,30 - 35  MPH
7,No,C: Possible Injury,Black,Male,20 - 25  MPH
45,No,C: Possible Injury,White,Male,30 - 35  MPH
11,No,Unknown Injury,White,Female,30 - 35  MPH
40,No,K: Killed,Black,Male,40 - 45  MPH
57,No,C: Possible Injury,Black,Male,Unknown
25,No,C: Possible Injury,White,Male,20 - 25  MPH
14,No,C: Possible Injury,Black,Male,30 - 35  MPH
17,No,C: Possible Injury,White,Male,50 - 55  MPH
999,Missing,Unknown Injury,Unknown/Missing,Unknown,20 - 25  MPH
7,No,C: Possible Injury,Black,Male,30 - 35  MPH
23,No,C: Possible Injury,White,Male,20 - 25  MPH
8,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
49,"Yes-Drugs, impairment suspected",O: No Injury,White,Male,50 - 55  MPH
16,No,O: No Injury,White,Male,30 - 35  MPH
27,No,C: Possible Injury,Black,Male,30 - 35  MPH
8,No,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
8,No,C: Possible Injury,Black,Male,20 - 25  MPH
40,"Yes-Alcohol, impairment detected",B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
6,No,C: Possible Injury,Black,Male,20 - 25  MPH
23,No,C: Possible Injury,White,Male,20 - 25  MPH
17,No,C: Possible Injury,Black,Male,5 - 15 MPH
20,"Yes-Drugs, impairment suspected",C: Possible Injury,Hispanic,Male,50 - 55  MPH
53,"Yes-Alcohol, impairment suspected",A: Suspected Serious Injury,Black,Male,30 - 35  MPH
10,No,B: Suspected Minor Injury,Native American,Male,50 - 55  MPH
57,No,C: Possible Injury,Other,Male,Unknown
50,No,A: Suspected Serious Injury,Hispanic,Female,Unknown
40,No,O: No Injury,White,Male,30 - 35  MPH
31,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
17,No,C: Possible Injury,White,Female,40 - 45  MPH
35,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,Native American,Male,50 - 55  MPH
31,No,C: Possible Injury,White,Male,30 - 35  MPH
50,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
20,No,C: Possible Injury,White,Female,20 - 25  MPH
56,No,A: Suspected Serious Injury,White,Female,50 - 55  MPH
28,No,C: Possible Injury,Black,Male,30 - 35  MPH
57,No,C: Possible Injury,White,Male,30 - 35  MPH
41,No,C: Possible Injury,White,Male,Unknown
20,No,C: Possible Injury,Hispanic,Male,30 - 35  MPH
37,No,C: Possible Injury,White,Male,30 - 35  MPH
15,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
49,No,C: Possible Injury,Black,Male,5 - 15 MPH
16,No,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
62,No,O: No Injury,White,Male,40 - 45  MPH
28,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
37,No,C: Possible Injury,Black,Male,30 - 35  MPH
34,No,C: Possible Injury,Black,Male,5 - 15 MPH
21,No,O: No Injury,White,Male,20 - 25  MPH
25,No,C: Possible Injury,Black,Female,30 - 35  MPH
60,"Yes-Alcohol, impairment suspected",K: Killed,White,Male,40 - 45  MPH
20,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
20,Unknown,C: Possible Injury,White,Male,20 - 25  MPH
42,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,Black,Male,30 - 35  MPH
28,No,C: Possible Injury,Hispanic,Male,30 - 35  MPH
11,No,B: Suspected Minor Injury,White,Female,50 - 55  MPH
25,"Yes-Alcohol, impairment suspected",K: Killed,White,Male,30 - 35  MPH
57,No,B: Suspected Minor Injury,White,Male,5 - 15 MPH
21,No,C: Possible Injury,White,Female,30 - 35  MPH
33,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
33,No,C: Possible Injury,White,Male,40 - 45  MPH
59,No,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
27,No,C: Possible Injury,White,Male,30 - 35  MPH
22,No,B: Suspected Minor Injury,White,Female,20 - 25  MPH
10,No,C: Possible Injury,White,Female,20 - 25  MPH
52,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
23,No,C: Possible Injury,White,Female,20 - 25  MPH
67,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
999,Missing,Unknown Injury,White,Male,5 - 15 MPH
26,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
16,No,C: Possible Injury,Black,Male,30 - 35  MPH
26,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
53,No,K: Killed,Black,Male,50 - 55  MPH
24,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
48,No,C: Possible Injury,Black,Female,30 - 35  MPH
16,No,B: Suspected Minor Injury,Black,Male,5 - 15 MPH
16,No,C: Possible Injury,White,Male,30 - 35  MPH
25,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
24,No,C: Possible Injury,White,Female,40 - 45  MPH
25,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
66,No,C: Possible Injury,White,Male,40 - 45  MPH
79,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
30,No,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
6,No,B: Suspected Minor Injury,Hispanic,Male,Unknown
15,No,O: No Injury,Black,Male,20 - 25  MPH
21,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
53,No,O: No Injury,White,Male,20 - 25  MPH
